Player,Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Team,Birth,College
Bennedict Mathurin,SF,21,59,19,26.1,5.0,11.2,0.446,1.4,3.6,0.374,3.7,7.6,0.481,0.507,3.1,3.8,0.821,1.0,2.9,4.0,2.0,0.6,0.2,1.6,2.0,14.5,Indiana Pacers,CA,Arizona
Buddy Hield,SF,31,52,28,25.7,4.4,9.9,0.443,2.6,6.9,0.384,1.8,3.1,0.575,0.575,0.5,0.6,0.848,0.7,2.6,3.2,2.7,0.8,0.6,1.2,2.0,12.0,Indiana Pacers,BS,Oklahoma
Andrew Nembhard,PG,24,68,47,25.0,3.8,7.7,0.498,0.9,2.5,0.357,2.9,5.2,0.567,0.557,0.7,0.8,0.804,0.5,1.5,2.1,4.1,0.9,0.1,1.5,2.1,9.2,Indiana Pacers,CA,"Florida, Gonzaga"
Obi Toppin,PF,25,82,28,21.1,4.0,7.1,0.573,1.2,3.1,0.403,2.8,4.0,0.706,0.661,0.9,1.2,0.77,1.0,2.9,3.9,1.6,0.6,0.5,0.8,1.7,10.3,Indiana Pacers,US,Dayton
T.J. McConnell,PG,31,71,4,18.2,4.6,8.4,0.556,0.3,0.6,0.409,4.4,7.7,0.568,0.572,0.7,0.9,0.79,0.5,2.2,2.7,5.5,1.0,0.1,1.5,1.1,10.2,Indiana Pacers,US,"Duquesne, Arizona"
Jalen Smith,C,23,61,14,17.2,3.8,6.5,0.592,1.0,2.4,0.424,2.8,4.1,0.689,0.67,1.2,1.7,0.692,1.8,3.7,5.5,1.0,0.3,0.6,0.7,2.0,9.9,Indiana Pacers,US,Maryland
Ben Sheppard,SG,22,57,1,14.3,1.6,4.0,0.393,0.9,2.7,0.314,0.7,1.3,0.562,0.5,0.4,0.5,0.885,0.3,1.3,1.6,0.9,0.6,0.0,0.3,1.5,4.4,Indiana Pacers,US,Belmont
Isaiah Jackson,C,22,59,3,13.1,2.6,3.9,0.665,0.0,0.1,0.0,2.6,3.9,0.677,0.665,1.2,1.7,0.716,1.6,2.4,4.0,0.8,0.6,1.0,0.7,2.3,6.5,Indiana Pacers,US,Kentucky
Doug McDermott,SF,32,18,0,11.3,1.6,3.8,0.406,1.0,3.1,0.321,0.6,0.7,0.769,0.536,0.1,0.1,0.5,0.1,0.5,0.6,0.7,0.3,0.0,0.2,0.9,4.2,Indiana Pacers,US,Creighton
Jarace Walker,PF,20,33,0,10.3,1.4,3.3,0.409,0.7,1.7,0.4,0.7,1.7,0.418,0.509,0.2,0.3,0.889,0.4,1.5,1.9,1.2,0.5,0.3,0.5,0.9,3.6,Indiana Pacers,US,Houston
Jordan Nwora,SF,25,18,0,10.2,2.1,4.6,0.451,0.6,2.0,0.306,1.4,2.6,0.565,0.518,0.5,0.6,0.818,0.4,1.4,1.8,1.0,0.3,0.1,0.7,1.1,5.2,Indiana Pacers,US,Louisville
Daniel Theis,C,31,1,0,8.0,1.0,4.0,0.25,0.0,1.0,0.0,1.0,3.0,0.333,0.25,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,Indiana Pacers,DE,
Oscar Tshiebwe,PF,24,8,0,5.3,1.3,2.5,0.5,0.0,0.0,,1.3,2.5,0.5,0.5,0.8,1.0,0.75,1.0,1.0,2.0,0.3,0.3,0.1,0.0,0.4,3.3,Indiana Pacers,CD,"West Virginia, Kentucky"
James Johnson,PF,36,9,0,5.2,0.3,1.1,0.3,0.0,0.2,0.0,0.3,0.9,0.375,0.3,0.2,0.2,1.0,0.1,0.3,0.4,0.9,0.6,0.1,0.6,1.0,0.9,Indiana Pacers,US,Wake Forest
Kendall Brown,SG,20,15,0,4.2,0.5,1.0,0.533,0.0,0.1,0.0,0.5,0.9,0.615,0.533,0.3,0.5,0.625,0.2,0.1,0.3,0.3,0.0,0.0,0.1,0.6,1.4,Indiana Pacers,US,Baylor
Isaiah Wong,SG,23,1,0,4.0,1.0,3.0,0.333,0.0,1.0,0.0,1.0,2.0,0.5,0.333,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Indiana Pacers,US,Miami (FL)
Quenton Jackson,PG,25,3,0,3.7,0.0,0.3,0.0,0.0,0.0,,0.0,0.3,0.0,0.0,0.7,0.7,1.0,0.0,1.3,1.3,0.7,0.3,0.0,0.0,0.3,0.7,Indiana Pacers,US,Texas A&M
Tyrese Maxey,PG,23,70,70,37.5,9.1,20.3,0.45,3.0,8.1,0.373,6.1,12.1,0.501,0.524,4.7,5.4,0.868,0.5,3.2,3.7,6.2,1.0,0.5,1.7,2.2,25.9,Philadelphia 76ers,US,Kentucky
Tobias Harris,PF,31,70,70,33.8,6.6,13.6,0.487,1.3,3.7,0.353,5.3,9.9,0.537,0.535,2.7,3.0,0.878,1.1,5.3,6.5,3.1,1.0,0.7,1.3,1.6,17.2,Philadelphia 76ers,US,Tennessee
Joel Embiid,C,29,39,39,33.6,11.5,21.8,0.529,1.4,3.6,0.388,10.2,18.3,0.556,0.561,10.2,11.6,0.883,2.4,8.6,11.0,5.6,1.2,1.7,3.8,2.9,34.7,Philadelphia 76ers,CM,Kansas
Kelly Oubre Jr.,SF,28,68,52,30.2,5.7,12.9,0.441,1.5,4.8,0.311,4.2,8.1,0.517,0.498,2.6,3.4,0.75,1.4,3.6,5.0,1.5,1.1,0.7,1.3,2.9,15.4,Philadelphia 76ers,US,Kansas
Kyle Lowry,PG,37,23,20,28.4,2.6,5.9,0.444,1.6,3.9,0.404,1.0,2.0,0.522,0.578,1.2,1.4,0.848,0.4,2.4,2.8,4.6,0.9,0.3,1.4,2.3,8.0,Philadelphia 76ers,US,Villanova
De'Anthony Melton,SG,25,38,33,26.9,3.7,9.5,0.386,2.0,5.6,0.36,1.6,3.8,0.425,0.493,1.7,2.1,0.835,0.7,3.0,3.7,3.0,1.6,0.4,1.0,2.2,11.1,Philadelphia 76ers,US,USC
Nicolas Batum,PF,35,57,38,25.9,2.0,4.4,0.456,1.2,3.1,0.399,0.7,1.2,0.6,0.599,0.3,0.4,0.714,1.2,3.0,4.2,2.2,0.8,0.6,0.7,1.8,5.5,Philadelphia 76ers,FR,
Buddy Hield,SG,31,32,14,25.8,4.4,10.4,0.426,2.6,6.6,0.389,1.9,3.8,0.492,0.55,0.8,0.8,0.923,0.8,2.3,3.2,3.0,0.8,0.3,1.3,2.1,12.2,Philadelphia 76ers,BS,Oklahoma
P.J. Tucker,PF,38,3,3,22.0,0.7,1.7,0.4,0.7,1.7,0.4,0.0,0.0,,0.6,0.0,0.0,,0.3,4.3,4.7,0.0,1.0,0.7,0.7,3.0,2.0,Philadelphia 76ers,US,Texas
Patrick Beverley,PG,35,47,5,19.6,2.2,5.1,0.432,0.7,2.3,0.321,1.5,2.8,0.523,0.504,1.1,1.3,0.81,0.6,2.4,3.1,3.1,0.5,0.4,1.0,1.8,6.3,Philadelphia 76ers,US,Arkansas
Cameron Payne,PG,29,31,8,19.4,3.5,8.4,0.413,1.7,4.4,0.382,1.8,4.0,0.447,0.514,0.7,0.7,0.913,0.5,1.3,1.8,3.1,0.6,0.3,1.1,1.7,9.3,Philadelphia 76ers,US,Murray State
Paul Reed,C,24,82,24,19.4,3.2,5.9,0.54,0.3,0.7,0.368,2.9,5.2,0.563,0.561,0.7,1.0,0.718,2.4,3.6,6.0,1.3,0.8,1.0,0.8,2.4,7.3,Philadelphia 76ers,US,DePaul
Marcus Morris,PF,34,37,7,17.2,2.4,5.5,0.439,1.0,2.4,0.4,1.5,3.1,0.47,0.527,0.8,1.0,0.861,0.5,2.5,2.9,0.7,0.4,0.3,0.5,1.6,6.7,Philadelphia 76ers,US,Kansas
Robert Covington,SF,33,26,3,16.1,1.5,3.4,0.449,0.7,1.8,0.354,0.9,1.6,0.561,0.545,0.8,0.9,0.875,1.1,2.3,3.4,0.7,1.3,0.6,0.4,1.9,4.5,Philadelphia 76ers,US,Tennessee State
Danuel House Jr.,SF,30,34,4,15.0,1.4,3.1,0.448,0.4,1.5,0.3,0.9,1.6,0.582,0.519,1.0,1.4,0.761,0.5,1.2,1.7,0.8,0.4,0.1,0.6,1.3,4.2,Philadelphia 76ers,US,Texas A&M
